Title,Rent,Address,URL
3 Bed 2 Bath Available! Apply Today! $50,$1385,Atlanta,https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bed-2-bath-available-apply/7101468880.html
"Come see our cozy 3bed 2bath, pool & pet friendly w hwy access!!!",$1433,jonesboro,https://atlanta.craigslist.org/sat/apa/d/jonesboro-come-see-our-cozy-3bed-2bath/7105212967.html
"750 Martina Dr NE Atlanta,",$1433,GA,https://atlanta.craigslist.org/atl/apa/d/atlanta-750-martina-dr-ne-atlanta/7106618402.html
Iconic Wellington Ridge Living - Call Now!,$1050,Covington,https://atlanta.craigslist.org/eat/apa/d/covington-iconic-wellington-ridge/7108330714.html
YOUR RENTAL HISTORY AND JOB IS YOUR CREDIT!!!,$1050,3581 Midway Rd. Decatur GA. 30032,https://atlanta.craigslist.org/atl/apa/d/decatur-your-rental-history-and-job-is/7108344927.html
YOUR RENTAL HISTORY AND JOB IS YOUR CREDIT!!!,$1084,"704 Lake Dr, Snellville GA 30078",https://atlanta.craigslist.org/atl/apa/d/snellville-your-rental-history-and-job/7108344030.html
Can't Beat This Deal!! Pre-Lease Now!!,$1084,Conyers,https://atlanta.craigslist.org/sat/apa/d/cant-beat-this-deal-pre-lease-now/7108334189.html
CHARMING FOUR-SIDED brick home with ultra MODERN interior in Grove PAR,$1450,Jonesboro,https://atlanta.craigslist.org/atl/apa/d/atlanta-charming-four-sided-brick-home/7101951078.html
"Storage, Covered Parking, Additional Storage",$1450,Duluth,https://atlanta.craigslist.org/atl/apa/d/atlanta-storage-covered-parking/7108326498.html
"Cozy Fireplace, Large Bathrooms with Garden Tubs, Private Sunroom",$1200,"4856 Huntlea Ct, Decatur GA 30034",https://atlanta.craigslist.org/sat/apa/d/rex-cozy-fireplace-large-bathrooms-with/7108323685.html
Why Look Anywhere Else? Everything You Want is Here!,$1200,Marietta,https://atlanta.craigslist.org/sat/apa/d/morrow-why-look-anywhere-else/7108324542.html
"Online Rent Pay, Stainless Steel Appliance Package, Ceiling Fans",$1287,"4766 White Oak Path, Stone Mountain GA 30088",https://atlanta.craigslist.org/wat/apa/d/duluth-online-rent-pay-stainless-steel/7101511162.html
YOUR RENTAL HISTORY AND JOB IS YOUR CREDIT!!!,$1287,"2200 Parklake Drive NE Atlanta, GA",https://atlanta.craigslist.org/atl/apa/d/decatur-your-rental-history-and-job-is/7108333045.html
$99 Look and Lease Special! Ready to Move-in!,$980,"100 Woodlawn Park Drive McDonough, GA",https://atlanta.craigslist.org/atl/apa/d/marietta-99-look-and-lease-special/7108330665.html
Welcome Home to St. Ives Crossing.,$980,Woodstock,https://atlanta.craigslist.org/sat/apa/d/stockbridge-welcome-home-to-st-ives/7101139675.html
"3 Bed - 2 Bath, Close to I-75 and I-285, Pet-Friendly",$1705,Atlanta,https://atlanta.craigslist.org/wat/apa/d/smyrna-3-bed-2-bath-close-to-75-and-285/7095291153.html
YOUR RENTAL HISTORY AND JOB IS YOUR CREDIT!!!,$1705,846 Briarcliff Rd,https://atlanta.craigslist.org/atl/apa/d/stone-mountain-your-rental-history-and/7108326622.html
ONLY ONE LEFT!! HARDWOOD FLOORS THROUGHOUT!! DOUBLE SINK BATHROOM!!,$1335,"Decatur, Atlanta",https://atlanta.craigslist.org/atl/apa/d/atlanta-only-one-left-hardwood-floors/7108320931.html
LAST 3 BEDROOM FOR MAY! CALL NOW!,$1335,Norcross  GA,https://atlanta.craigslist.org/sat/apa/d/mcdonough-last-3-bedroom-for-may-call/7108325034.html
"Spa-like bathrooms feature, Outdoor stainless steel grill, Fire Pit",$1127,Norcross  GA,https://atlanta.craigslist.org/nat/apa/d/woodstock-spa-like-bathrooms-feature/7108302013.html
Renew Braelinn - Spacious Units Available Now!,$1127,East Point,https://atlanta.craigslist.org/sat/apa/d/peachtree-city-renew-braelinn-spacious/7102377358.html
Lovely Living Minutes Away From Downtown and Airport,$1410,Norcross  GA,https://atlanta.craigslist.org/atl/apa/d/atlanta-lovely-living-minutes-away-from/7108322983.html
HUGE 3BR 2BA  VAHI Upper Level Apt.,$1410,Canton,https://atlanta.craigslist.org/atl/apa/d/atlanta-huge-3br-2ba-vahi-upper-level/7108318497.html
"Alston Drive, White Oak Hills",$1250,Norcross  GA,https://atlanta.craigslist.org/eat/apa/d/decatur-alston-drive-white-oak-hills/7108315637.html
Prime Peachtree Corners Location,$1250,Canton,https://atlanta.craigslist.org/nat/apa/d/peachtree-corners-prime-peachtree/7108315281.html
Great 3 Bedroom/2 Bath in Peachtree Corners,$1660,Duluth,https://atlanta.craigslist.org/nat/apa/d/peachtree-corners-great-3-bedroom-2/7108312913.html
3 Bedroom/2 Bathroom Split Plan House for Rent,$1660,Chamblee Tucker,https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bedroom-2-bathroom-split-plan/7108312204.html
Amazing Duluth 3 Bedroom with Private Outdoor Space,$1416,"1202 Wexford Hills Pkwy Smyrna, GA",https://atlanta.craigslist.org/atl/apa/d/duluth-amazing-duluth-3-bedroom-with/7104241657.html
Beautiful 3 Bedroom/2 Bath in Peachtree Corners,$1416,"1313 Stone Mill Way Stone Mountain, GA",https://atlanta.craigslist.org/nat/apa/d/peachtree-corners-beautiful-3-bedroom-2/7108309677.html
Washer And Dryer Included In Extra Large 3 Bedroom,$1590,"3705 Glenwood Rd, Decatur, GA 30032",https://atlanta.craigslist.org/nat/apa/d/canton-washer-and-dryer-included-in/7108290557.html
Lovely Lithonia 3Br/2Ba Home ONLY $1265,$1590,Henry County,https://atlanta.craigslist.org/eat/apa/d/lithonia-lovely-lithonia-3br-2ba-home/7108307115.html
Quality Peachtree Corners 3 Bedroom,$1350,Chamblee Tucker,https://atlanta.craigslist.org/nat/apa/d/peachtree-corners-quality-peachtree/7108306888.html
"On-site Maintenance, Garages, High Ceilings",$1350,Chamblee Tucker,https://atlanta.craigslist.org/wat/apa/d/conyers-on-site-maintenance-garages/7108306349.html
Peace & Serenity Can Be Yours In Our 3 Bedroom Apartment Home!,$1688,"100 Woodlawn Park Drive McDonough, GA",https://atlanta.craigslist.org/nat/apa/d/canton-peace-serenity-can-be-yours-in/7108284901.html
"Swimming Pool, Plush Carpet, Espresso Cabinetry with Hardware",$1688,Suwanee,https://atlanta.craigslist.org/wat/apa/d/duluth-swimming-pool-plush-carpet/7100597526.html
"Incredible Amenities, Come Look and Lease, Call for Details",$1295,McDonough Square,https://atlanta.craigslist.org/wat/apa/d/atlanta-incredible-amenities-come-look/7108303488.html
Three Bedroom Apartments Available Today!,$1295,Stockbridge,https://atlanta.craigslist.org/atl/apa/d/smyrna-three-bedroom-apartments/7108301881.html
Special - 3 Bedroom Garden-Tucker Square Apartment Homes,$1380,"2224 Pinehurst Dr, East Point, GA 30344",https://atlanta.craigslist.org/atl/apa/d/pine-lake-special-3-bedroom-garden/7108301778.html
Home Is Where The Heart Is!!,$1380,East Point,https://atlanta.craigslist.org/eat/apa/d/porterdale-home-is-where-the-heart-is/7108301706.html
YOUR RENTAL HISTORY AND JOB IS YOUR CREDIT!!!,$1154,1313 Stone Mill Way Stone Mountain GA,https://atlanta.craigslist.org/atl/apa/d/decatur-your-rental-history-and-job-is/7108294763.html
Reserve your beautiful home today!!!,$1154,Atlanta,https://atlanta.craigslist.org/wat/apa/d/conyers-reserve-your-beautiful-home/7108300712.html
Gotta See It To Believe It!!!,$1110,Avondale Estates,https://atlanta.craigslist.org/eat/apa/d/decatur-gotta-see-it-to-believe-it/7099827048.html
Come Join our Community!!!!,$1110,Henry County,https://atlanta.craigslist.org/eat/apa/d/decatur-come-join-our-community/7099826289.html
Come Join our Community!!!!,$2400,McDonough,https://atlanta.craigslist.org/eat/apa/d/decatur-come-join-our-community/7099824682.html
Elite X- Ing,$2400,Atlanta,https://atlanta.craigslist.org/eat/apa/d/decatur-elite-ing/7101202623.html
Elite X- Ing,$1750,Lithonia,https://atlanta.craigslist.org/eat/apa/d/decatur-elite-ing/7101199833.html
"Garbage disposal, Dishwasher, Hardwood floors",$1750,HOMEPARK,https://atlanta.craigslist.org/sat/apa/d/atlanta-garbage-disposal-dishwasher/7103341339.html
"Dishwasher, Private Balcony, Washer/Dryer",$1439,Austell,https://atlanta.craigslist.org/atl/apa/d/atlanta-dishwasher-private-balcony/7106179193.html
